belong,l_type,name,point,tname,time
국제 글로벌경영학전공,전공선택,e-비즈니스와혁신(원어),3,데이비드 켈러허,"수11,12,13/목5,6,7(국제502)"
국제 글로벌경영학전공,전공선택,관리회계(원어),3,심재우,"목1,2,3,4,5,6(국제608)"
국제 글로벌경영학전공,전공선택,국내인턴십2(국제경영)(원어),12,김수경,
국제 글로벌경영학전공,전공선택,국외인턴십2(국제경영)(원어),12,김수경,
국제 글로벌경영학전공,전공선택,국제관계(원어),3,데이비드 켈러허,"화11,12,13/수1,2,3(국제501)"
국제 글로벌경영학전공,전공선택,국제마케팅(원어),3,연영철,"월2,3,4,5,6,7(국제501)"
국제 글로벌경영학전공,전공선택,국제사회와리더십(원어),3,김수경,"화12,13,14/수5,6,7(국제502)"
국제 글로벌경영학전공,전공선택,국제재무(원어),3,류성희,"목11,12,13,14,15,16(국제503)"
국제 글로벌경영학전공,전공선택,글로벌창업론(원어),3,박정원,"월3,4,5,6,7,8(국제503)"
국제 글로벌경영학전공,전공필수,기초마케팅(원어),3,데이비드 칼리노스키,"화8,9,10/목8,9,10(국제608)"
국제 글로벌경영학전공,전공필수,비즈니스통계(원어),3,나진성,"화11,12,13/목8,9,10(국제503)"
국제 글로벌경영학전공,전공선택,세계지역연구(원어),3,데이비드 켈러허,"월13,14,15/화5,6,7(국제501)"
국제 글로벌경영학전공,전공필수,운영관리(원어),3,나진성,"월9,10,11/수9,10,11(국제503)"
국제 글로벌경영학전공,전공선택,취창업전공세미나2([1전공자만 이수 가능함])(원어),2,김수경,"목1,2,3,4(국제503)"
국제 글로벌경영학전공,전공선택,품질관리(원어),3,나진성,"화1,2,3/수4,5,6(국제503)"
국제 글로벌경영학전공,전공선택,화폐금융(원어),3,박정원,"월12,13,14,15,16,17(국제503)"
외국어 중국어과,전공선택,교과논리및논술,2,전병용,"월14,15,16,17(인429-01)"
외국어 중국어과,전공선택,실용중국어문법1,3,장호득,"화2,3,4(인526)/수2,3,4(인115-01)"
외국어 중국어과,대학기초교양,외국언어의이해,3,김경나,"수13,14,15(인008-01)/금8,9,10(인526)"
외국어 중국어과,전공선택,중국경제통상및시사(원어),3,왕러,"월9,10,11(인000-09)/화11,12,13(인418-02)"
외국어 중국어과,전공선택,중국고전명작강독2(플립러닝),3,안희진,"월6,7,8/화6,7,8(인418-02)"
외국어 중국어과,전공선택,중국문학개론(원어),3,안희진,"월3,4,5/목2,3,4(인418-02)"
외국어 중국어과,전공선택,중국문학사,3,안희진,"화3,4,5(인008-01)/수6,7,8(인418-02)"
외국어 중국어과,전공선택,중국어강독2(원어),3,조미연,"월6,7,8(인526)/화14,15,16(인426)"
외국어 중국어과,전공선택,중국어강독2,3,조미연,"화11,12,13/목9,10,11(인426)"
외국어 중국어과,전공선택,중국어강독2,3,조미연,"수12,13,14(인418-02)/목12,13,14(인426)"
외국어 중국어과,전공선택,중국어강독4,3,이인경,"월11,12,13(인000-08)/수12,13,14(사회215)"
외국어 중국어과,전공선택,중국어교재연구및지도법,3,표경현,"목10,11,12,13,14,15(인429-02)"
외국어 중국어과,전공선택,중국어권문화,3,왕러,"수3,4,5(인418-02)/목6,7,8(인520)"
외국어 중국어과,학과기초,중국어문형연습,2,김기은,"목3,4,5,6,7,8(인426)"
외국어 중국어과,학과기초,중국어문형연습,2,김기은,"목11,12,13,14,15,16(인418-02)"
외국어 중국어과,학과기초,중국어문형연습,2,이유진,"화12,13,14,15,16,17(인214)"
외국어 중국어과,학과기초,중국어문형연습,2,정지인,"금11,12,13,14,15,16(인524-01)"
외국어 중국어과,학과기초,중국어실습2,2,장경아,"금2,3,4,5,6,7(인418-02)"
외국어 중국어과,학과기초,중국어실습2,2,정지인,"금2,3,4,5,6,7(인426)"
외국어 중국어과,학과기초,중국어실습2,2,장경아,"금11,12,13,14,15,16(인418-02)"
외국어 중국어과,학과기초,중국어실습2,2,장효민,"금2,3,4,5,6,7(인524-01)"
외국어 중국어과,학과기초,중국어입문2(원어),2,이인경,"월2,3,4,5(인516-01)"
외국어 중국어과,학과기초,중국어입문2,2,이인경,"화6,7,8,9(인426)"
외국어 중국어과,학과기초,중국어입문2,2,이인경,"목2,3,4,5(인115-01)"
외국어 중국어과,학과기초,중국어입문2,2,장효민,"금11,12,13,14(인426)"
외국어 중국어과,전공선택,중국어작문2,3,장호득,"화6,7,8(인000-11)/수6,7,8(인426)"
외국어 중국어과,전공선택,중국어작문2,3,이인경,"수15,16,17(인426)/목6,7,8(인418-02)"
외국어 중국어과,전공선택,중국어회화2,3,왕러,"월14,15,16(인426)/수9,10,11(인418-02)"
외국어 중국어과,전공선택,중국어회화2(원어),3,허경인,"월3,4,5,6,7,8(인426)"
외국어 중국어과,전공선택,중국어회화2,3,왕러,"월6,7,8(인007-01)/화8,9,10(인000-10)"
외국어 중국어과,전공선택,취창업전공세미나2([1전공자 2~4학년만 이수 가능함]),2,이인경,"월6,7,8,9(인529)"
외국어 중국어과,전공선택,한중통역,3,이유진,"화6,7,8,9,10,11(인529)"
외국어 일본어과,전공필수,고급일본어강독2(원어),3,편무진,"월2,3,4(인521)/목11,12,13(인517-01)"
외국어 일본어과,전공선택,고급일본어회화2,2,다바타미쓰코,"수2,3,4/목14,15,16(인517-01)"
외국어 일본어과,전공선택,교과논리및논술,2,전병용,"월14,15,16,17(인429-01)"
