한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,20세기서양대중음악개론,2,주화준,"월14,15,16,17(인527)"
,교양,20세기역사와다큐멘터리,3,김연진,"목10,11,12,13,14,15(사회417)"
,교양,20세기한국대중음악개론,2,주화준,"월9,10,11,12(인526)"
,교양,IoT와센서에대한이해,3,김세환,"수11,12,13,14,15,16(사회404)"
,교양,OPIc,2,허선영,"월14,15,16,17(인000-08)"
,교양,건강개발프로그램론,2,이호성,"목10,11,12,13(인420)"
,교양,건강과구강건강,2,장연수,"목11,12,13,14(약학114-01)"
,교양,건강과생활,2,이석준,"금6,7,8,9(인007-01)"
,교양,건강과질병,3,유영복,"목3,4,5,6,7,8(사회402)"
,교양,경영과리더십,2,이영수,"화2,3,4,5(산학114)"
,교양,공예감상및비평,2,황승욱,"화14,15,16,17(예술관D동101)"
,교양,공학이야기,2,이승하,"목6,7,8,9(인522)"
,교양,과학사고와과학철학의이해,3,조헌국,"목2,3,4,5,6,7(인423)"
,교양,과학적사고와인간([융합기술대학 1학년 전용강좌(타 학년 인정안됨)])(사이버),2,장영주,"월21,22(생명208-01)"
,교양,과학적사고와인간([보건과학대학 1학년 전용강좌(타 학년 인정안됨)])(사이버),2,장영주,"화21,22(생명208-01)"
,교양,과학적사고와인간([융합기술대학 1학년 전용강좌(타 학년 인정안됨)])(사이버),2,조헌국,"수21,22(생명208-01)"
,교양,과학적사고와인간([자연과학대학 1학년 전용강좌(타 학년 인정안됨)])(사이버),2,조헌국,"목19,20(생명208-01)"
,교양,과학적사고와인간([자연과학대학 1학년 전용강좌(타 학년 인정안됨)])(사이버),2,조헌국,"목21,22(생명208-01)"
,교양,과학적사고와인간([간호대학 1학년 전용강좌(타 학년 인정안됨)]),2,조헌국,"화14,15,16,17(약학113-01)"
,교양,교양레크리에이션,3,김지태,"월8,9,10,11,12,13(체016-01)"
,교양,교양레크리에이션,3,김지태,"월19,20,21(체016-01)"
,교양,교양배구,3,정병근,"수12,13,14,15,16,17(체016-01)"
,교양,교양배드민턴,3,김용만,"목8,9,10,11,12,13(체301-01)"
,교양,교양수영,3,김기홍,"수11,12,13,14,15,16"
,교양,교양수영,3,김기홍,"월11,12,13,14,15,16"
,교양,교양스노우보드,3,김교진,
,교양,교양스노우보드,3,김교진,
,교양,교양스노우보드,3,김교진,
,교양,교양스노우보드,3,김교진,
,교양,교양스노우보드,3,김교진,
,교양,교양스키,3,김교진,
,교양,교양스키,3,김교진,
,교양,교양스키,3,김교진,
,교양,교양축구,3,옥정석,"화3,4,5,6,7,8"
,교양,교양탁구,3,이석준,"월2,3,4,5,6,7(체016-01)"
,교양,교양태권도,3,김영인,"목8,9,10,11,12,13(체010-01)"
,교양,교양테니스,3,강신욱,"월2,3,4,5,6,7(체301-01)"
,교양,교양테니스,3,강신욱,"화2,3,4,5,6,7(체301-01)"
,교양,교양풋살,3,이호성,"월11,12,13,14,15,16(체301-02)"
,교양,교양호신술,3,진승태,"화8,9,10,11,12,13(체009-01)"
,교양,교육과정,2,이정은,"목14,15,16,17(인000-11)"
,교양,교육방법및교육공학,2,이정은,"목6,7,8,9(인000-11)"
,교양,교육봉사활동,2,,
,교양,교육사회,2,최영준,"화2,3,4,5(인000-11)"
,교양,교육심리,2,김지효,"월6,7,8,9(인000-11)"
,교양,교육철학및교육사,2,임희숙,"월2,3,4,5(인000-11)"
,교양,교육평가,2,최영준,"화9,10,11,12(인000-11)"
,교양,교육학개론,2,박삼철,"월14,15,16,17(인000-11)"
,교양,교육행정및교육경영,2,박삼철,"월2,3,4,5(인429-02)"
,교양,교직실무,2,박삼철,"화2,3,4,5(인429-01)"
,교양,구강영역의생화학적이해,3,고선일,"화2,3,4,5,6,7(약학113-01)"
,교양,국가안보론,3,원종설,"월11,12,13,14,15,16(사회405)"
,교양,국제관계와세계시민사회의이해,3,전일욱,"화5,6,7,8,9,10(사회421)"
,교양,국제정치와국가안보,3,박계호,"목9,10,11,12,13,14(사회404)"
,교양,군사학2(ROTC1년차),3,,"화20,21/금10,11,12,13,14,15,16,17(학103-01)"
,교양,군사학4(ROTC2년차),3,,"월19,20/목10,11,12,13,14,15,16,17(학103-01)"
