belong,l_type,name,point,tname,time
문과대학,대학기초교양,언어와의사소통의이해(문과대학),3,김길동,"목13,14,15,16,17,18(인문323)"
문과대학,대학기초교양,언어와의사소통의이해(문과대학),3,김기준,"목1,2,3,4,5,6(인문301)"
문과대학,대학기초교양,언어와의사소통의이해(문과대학),3,박정규,"화16,17,18/목16,17,18(인문101)"
문과대학,대학기초교양,언어와의사소통의이해(문과대학),3,박상진,"목13,14,15,16,17,18(인문321)"
문과 국어국문학과,전공선택,고전문학연습,3,윤주필,"화7,8,9/목10,11,12(인문503)"
문과 국어국문학과,전공필수,고전비평론,3,윤재환,"화4,5,6/목1,2,3(인문503)"
문과 국어국문학과,전공선택,고전소설론,3,윤주필,"화10,11,12/목7,8,9(인문503)"
문과 국어국문학과,전공선택,구비문학개론,3,맹영일,"수16,17,18/금1,2,3(인문502)"
문과 국어국문학과,전공선택,국내인턴십1(국어국문),18,이건식,
문과 국어국문학과,전공선택,국내인턴십2(국어국문),12,이건식,
문과 국어국문학과,학과기초,국문학개론,3,권진옥,"월10,11,12,13,14,15(인문503)"
문과 국어국문학과,학과기초,국문학개론,3,윤재환,"월4,5,6/목4,5,6(인문503)"
문과 국어국문학과,전공필수,국어사,3,이건식,"월4,5,6/수13,14,15(인문502)"
문과 국어국문학과,전공선택,국어음운론,3,하영우,"월7,8,9,10,11,12(인문502)"
문과 국어국문학과,학과기초,국어학개론,3,한정한,"화13,14,15/목1,2,3(인문502)"
문과 국어국문학과,학과기초,국어학개론,3,한정한,"화4,5,6/목10,11,12(인문502)"
문과 국어국문학과,전공선택,국외인턴십1(국어국문),18,이건식,
문과 국어국문학과,전공선택,국외인턴십2(국어국문),12,이건식,
문과 국어국문학과,전공선택,문예비평론,3,임선숙,"화1,2,3/목4,5,6(인문502)"
문과 국어국문학과,전공선택,취창업전공세미나2,2,이건식,"금15,16,17,18(인문502)"
문과 국어국문학과,전공선택,표현교육론,3,최정혜,"수4,5,6,7,8,9(인문502)"
문과 국어국문학과,전공선택,한국어문생활사,3,이건식,"수1,2,3/금4,5,6(인문502)"
문과 국어국문학과,전공선택,한국어문생활사(외국인전용분반),3,이황진,"월1,2,3/수1,2,3(인문503)"
문과 국어국문학과,전공선택,향가여요,3,김영수,"화1,2,3/수10,11,12(인문503)"
문과 국어국문학과,전공선택,현대문학사조,3,유용태,"금7,8,9,10,11,12(인문503)"
문과 국어국문학과,전공선택,현대소설론,3,유용태,"화13,14,15/목16,17,18(인문503)"
문과 국어국문학과,전공선택,현대시론,3,이지순,"월13,14,15,16,17,18(인문502)"
문과 국어국문학과,전공선택,희곡론,3,김유미,"화16,17,18/목13,14,15(인문503)"
문과 사학과,전공선택,고고미술사특강,3,이해주,"월3,4,5,6,7,8(인문403)"
문과 사학과,전공선택,고려시대사,3,문철영,"수10,11,12,13,14,15(인문509)"
문과 사학과,전공선택,국내인턴십1(사학),18,김문식,
문과 사학과,전공선택,국내인턴십2(사학),12,김문식,
문과 사학과,전공선택,국외인턴십1(사학),18,김문식,
문과 사학과,전공선택,국외인턴십2(사학),12,김문식,
문과 사학과,전공필수,동양사상의이해,3,최희재,"화10,11,12/수1,2,3(인문509)"
문과 사학과,전공선택,동양사특강,3,최희재,"월12,13,14/수15,16,17(인문508)"
문과 사학과,전공선택,미국의역사(원어),3,김연진,"월15,16,17/화1,2,3(인문508)"
문과 사학과,전공선택,서양근대사,3,김현수,"목12,13,14,15,16,17(인문509)"
문과 사학과,학과기초,서양의역사와문화,3,김연진,"화10,11,12/수10,11,12(인문508)"
문과 사학과,학과기초,서양의역사와문화,3,김현수,"월12,13,14,15,16,17(인문509)"
문과 사학과,전공선택,유럽의역사(원어),3,김현수,"수4,5,6,7,8,9(인문508)"
문과 사학과,전공선택,유목정복왕조와동아시아세계,3,김영제,"화4,5,6,7,8,9(인문509)"
문과 사학과,전공필수,자료로본동아시아사(원어),3,심재훈,"화4,5,6/금3,4,5(인문508)"
문과 사학과,전공선택,조선시대사,3,김문식,"월1,2,3/화16,17,18(인문509)"
문과 사학과,전공선택,취창업전공세미나2,2,김문식,"수19,20(인문508)"
문과 사학과,전공선택,한국고고학,3,이종수,"화11,12,13(인문409)/수1,2,3(인문508)"
문과 사학과,전공필수,한국미술사,3,이해주,"목1,2,3,4,5,6(인문508)"
문과 사학과,학과기초,한국의역사와문화,3,전덕재,"월1,2,3/목9,10,11(인문508)"
문과 사학과,학과기초,한국의역사와문화,3,김문식,"월9,10,11/목9,10,11(인문509)"
문과 사학과,전공선택,한국현대사,3,한시준,"화13,14,15/목1,2,3(인문509)"
문과 철학과,전공선택,경영과철학,3,양문희,"금3,4,5,6,7,8(인문204)"
문과 철학과,전공선택,국내인턴십1(철학),18,유헌식,
문과 철학과,전공선택,국내인턴십2(철학),12,유헌식,
문과 철학과,전공선택,국외인턴십1(철학),18,유헌식,
문과 철학과,전공선택,국외인턴십2(철학),12,유헌식,
문과 철학과,학과기초,논리학,3,강수휘,"월3,4,5,6,7,8(인문323)"
문과 철학과,전공선택,동양근현대철학,3,황종원,"월16,17,18/수11,12,13(인문321)"
문과 철학과,전공선택,미디어와철학,3,김선옥,"목3,4,5,6,7,8(인문501)"
문과 철학과,전공선택,미학,3,유헌식,"화7,8,9/목7,8,9(인문301)"
문과 철학과,전공선택,상담철학,3,권오상,"화13,14,15,16,17,18(인문321)"
문과 철학과,학과기초,생활과철학,3,정연재,"화9,10,11,12,13,14(인문323)"
문과 철학과,전공선택,서양근대철학,3,김은주,"목11,12,13,14,15,16(인문402)"
문과 철학과,전공선택,예술작품과철학,3,이정민,"금11,12,13,14,15,16(인문402)"
문과 철학과,전공필수,윤리학,3,강준호,"월3,4,5,6,7,8(인문501)"
문과 철학과,전공선택,철학적인간학,3,유헌식,"월5,6,7/수5,6,7(인문402)"
문과 철학과,전공선택,취창업전공세미나2(원어),2,황종원,"월11,12,13,14(인문321)"
문과 철학과,전공필수,한국문화와철학,3,황종원,"수15,16,17/목10,11,12(인문323)"
문과 철학과,전공필수,희랍철학,3,양태범,"금9,10,11,12,13,14(인문204)"
문과 영미인문학과,전공선택,낭만주의연구,3,윤효녕,"화12,13,14/수12,13,14(인문204)"
문과 영미인문학과,전공선택,담화와논리,3,위혜경,"월11,12,13/화7,8,9(인문302)"
문과 영미인문학과,전공선택,리얼리즘미학,3,성은애,"수1,2,3(인문301)/목9,10,11(인문204)"
문과 영미인문학과,전공선택,미국영어와영국영어,3,박영,"수9,10,11(인문302)/목15,16,17(인문204)"
문과 영미인문학과,전공필수,언어와문화플립러닝,3,김현주,"화1,2,3,4,5,6(인문402)"
문과 영미인문학과,전공선택,영미문화와예술,3,김성헌,"화3,4,5/수9,10,11(인문204)"
문과 영미인문학과,전공필수,영미영어필수어휘,3,박영,"월1,2,3/목11,12,13(인문302)"
문과 영미인문학과,학과기초,영미인문학입문2(원어),3,오민석,"화12,13,14(인문302)/수9,10,11(인문301)"
문과 영미인문학과,전공선택,취창업전공세미나2(원어),2,이안맥도날드,"월14,15,16,17(인문302)"
문과 영미인문학과,학과기초,토론과프레젠테이션1(원어),3,이안맥도날드,"월9,10,11/목10,11,12(인문301)"
문과 영미인문학과,학과기초,토론과프레젠테이션1(원어),3,이안맥도날드,"수12,13,14/금15,16,17(인문301)"
문과 영미인문학과,전공선택,토론과프레젠테이션2(원어),3,이안맥도날드,"수15,16,17/금11,12,13(인문301)"
문과 영미인문학과,전공선택,현대극과심리분석,3,최경란,"화15,16,17/수12,13,14(인문501)"
문과 영미인문학과,전공선택,현대비평이론,3,오민석,"수4,5,6(인문301)/목15,16,17(인문302)"
문과 중어중문학과,전공선택,국내인턴십1(중어중문),18,배은한,
문과 중어중문학과,전공선택,국내인턴십2(중어중문),12,배은한,
문과 중어중문학과,전공선택,국외인턴십1(중어중문),18,배은한,
문과 중어중문학과,전공선택,국외인턴십2(중어중문),12,배은한,
문과 중어중문학과,전공선택,당송시,3,박혜경,"목1,2,3/금4,5,6(인문401)"
문과 중어중문학과,전공선택,명청소설,3,최재준,"목13,14,15,16,17,18(인문508)"
문과 중어중문학과,전공선택,원명희곡,3,황현국,"화10,11,12(인문402)/수10,11,12(인문401)"
문과 중어중문학과,학과기초,중국고문의이해,3,이화승,"화13,14,15,16,17,18(인문402)"
문과 중어중문학과,전공선택,중국문학사,3,정지인,"월13,14,15,16,17,18(인문401)"
문과 중어중문학과,전공선택,중국어사무자동화,3,이희주,"수10,11,12,13,14,15(인문205)"
문과 중어중문학과,전공선택,중국어작문(원어),3,장호득,"화13,14,15/목7,8,9(인문401)"
문과 중어중문학과,전공선택,중국어학개론,3,배은한,"화16,17,18/수13,14,15(인문401)"
문과 중어중문학과,학과기초,중국어회화입문1,2,김세희,"월13,14,15,16(인문402)"
문과 중어중문학과,전공선택,중국현대문학(원어),3,황현국,"월4,5,6/수4,5,6(인문401)"
문과 중어중문학과,전공선택,중국현대산문,3,황현국,"월10,11,12/화4,5,6(인문401)"
문과 중어중문학과,전공선택,중국현대희곡,3,유승현,"화7,8,9,10,11,12(인문401)"
문과 중어중문학과,전공선택,중급중어회화,3,장효민,"목11,12,13,14,15,16(인문401)"
문과 중어중문학과,전공선택,중어변론,3,한경숙,"목4,5,6(인문401)/금4,5,6(인문402)"
문과 중어중문학과,전공선택,중어응용작문,3,서명제,"목2,3,4,5,6,7(인문402)"
문과 중어중문학과,전공선택,취창업전공세미나2(원어),2,배은한,"월19,20(인문401)"
문과 일어일문학과,전공선택,고급일본어회화2,3,다바타미쓰코,"화1,2,3,4,5,6(인문403)"
문과 일어일문학과,전공선택,국내인턴십1(일어일문),18,최영철,
문과 일어일문학과,전공선택,국내인턴십2(일어일문),12,최영철,
문과 일어일문학과,전공선택,국외인턴십1(일어일문),18,최영철,
문과 일어일문학과,전공선택,국외인턴십2(일어일문),12,최영철,
문과 일어일문학과,전공선택,일본문학ㆍ문화특강2(원어),3,정형,"목1,2,3/금9,10,11(인문403)"
문과 일어일문학과,전공선택,일본문학개론2(원어),3,송귀영,"월2,3,4(인문408)/목4,5,6(인문403)"
