한칸,l_type,name,학점,교강사,time
,교양,20세기현대디자인,2,박하나,"월11,12,13,14(상경507)"
,교양,HSK어휘로배우는중국어,2,정현애,"화5,6,7,8(상경201)"
,교양,IoT와센서에대한이해,3,김세환,"금1,2,3,4,5,6(사범310)"
,교양,iBT토플리스닝&스피킹,2,김세민,"월7,8,9,10(국제307)"
,교양,가능성의심리학,3,진윤희,"화1,2,3,4,5,6(사범208)"
,교양,건강과구강건강,2,신승철,"화11,12,13,14(사범207)"
,교양,건강유토피아,3,변용현,"월7,8,9,10,11,12(인문419)"
,교양,건강한다이어트와영양(사이버),2,박정수,"월19,20(사범206)"
,교양,건설교과교재연구및지도법,3,윤중오,"화19,20,21(3공108)"
,교양,건축과도시의이해,3,홍경구,"월1,2,3,4,5,6(3공518)"
,교양,고급모바일공학영어(원어),2,데이비드 칼리노스키,"목11,12,13,14(국제307)"
,교양,고전주의음악사,2,김동익,"화11,12,13,14(사범505)"
,교양,공예교수학습방법,2,김준희,"금2,3,4,5(미술211)"
,교양,공직한국사,2,이정주,"금3,4,5,6(서관B103)"
,교양,공직한국사,2,전덕재,"수11,12,13,14(사범501)"
,교양,공학영어쓰기와프레젠테이션(원어),2,데이비드 칼리노스키,"화11,12,13,14(국제307)"
,교양,과학기술과현대무기체계발전,3,이용광,"수1,2,3,4,5,6(사범208)"
,교양,과학사고와과학철학의이해,3,조헌국,"수2,3,4,5,6,7(국제102_계단)"
,교양,"과학적사고와인간(사범대(수학,과학),국제(모바일))",2,이영희,"월11,12,13,14(인문211)"
,교양,"과학적사고와인간(고분자,파이버,화학공)(사이버)",2,이영희,"월15,16,17,18(사범206)"
,교양,"과학적사고와인간(토목,기계)(사이버)",2,이영희,"화15,16,17,18(사범206)"
,교양,교양단소,3,이건석,"수9,10,11,12,13,14(음악133)"
,교양,교양레크리에이션,3,심상신,"수1,2,3,4,5,6(체육B104)"
,교양,교양배구,3,권민혁,"화9,10,11,12,13,14(체육B104)"
,교양,교양배구중급,2,권민혁,"화15,16,17,18(체육B104)"
,교양,교양배드민턴,3,전용균,"목13,14,15,16,17,18(체육B104)"
,교양,교양배드민턴중급,2,전용균,"목1,2,3,4(체육B101)"
,교양,교양수영,3,최형준,"목9,10,11,12,13,14(체육B101)"
,교양,교양수영,3,윤인애,"토1,2,3,4,5,6(체육B222)"
,교양,교양스노우보드,3,허진영,"토1,2,3,4,5,6(체육B103)"
,교양,교양스키,3,권민혁,"토1,2,3,4,5,6(체육B104)"
,교양,교양스키,3,최형준,"토1,2,3,4,5,6(체육B106)"
,교양,교양스키,3,이윤수,"토1,2,3,4,5,6(체육B107)"
,교양,교양스키,3,전용균,"토1,2,3,4,5,6(체육B229)"
,교양,교양스키,3,조홍식,"토11,12,13,14,15,16(체육B101)"
,교양,교양스키,3,이상섭,"토1,2,3,4,5,6(체육B231)"
,교양,교양스키,3,정병근,"토1,2,3,4,5,6(체육125)"
,교양,교양축구,3,이윤수,"화11,12,13,14,15,16(체육B103)"
,교양,교양탁구,3,조홍식,"수11,12,13,14,15,16(체육B104)"
,교양,교양탁구중급,2,심상신,"화1,2,3,4(체육B104)"
,교양,교양테니스,3,김재호,"화3,4/수5,6,7,8(체육B101)"
,교양,교양테니스,3,김재호,"화5,6,7,8/수3,4(체육B102)"
,교양,교양테니스중급1,2,조홍식,"월1,2,3,4(체육B101)"
,교양,교양테니스중급2,2,조홍식,"월5,6,7,8(체육B103)"
,교양,교양풋살,3,임봉우,"월11,12,13,14,15,16"
,교양,교양호신술,3,임현묵,"화9,10,11,12,13,14(체육B102)"
,교양,교육과정(비사계 교직),2,최정희,"목5,6,7,8(사범401)"
,교양,교육과정(사범대학 전용),2,최정희,"목11,12,13,14(사범401)"
,교양,교육과정(사범대학 전용),2,최정희,"목15,16,17,18(사범401)"
